selector,r_val,r_eval,outer_repeats,regret_mean,regret_sd,regret_mcse,oracle_match_rate,selected_test_sr_mean,oracle_test_sr_mean,selected_model_mode,selected_model_entropy,oracle_match_mcse,regret_ci95_halfwidth
clean,0.19,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.19,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.195,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.195,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.195,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.195,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.195,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.195,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.195,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.195,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.195,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.195,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.195,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.2,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.2,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.2,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.2,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.2,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.2,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.2,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.2,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.2,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.2,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.2,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.205,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.205,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.205,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.205,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.205,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.205,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.205,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.205,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.205,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.205,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.205,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.21,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.21,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.21,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.21,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.21,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.21,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.21,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.21,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.21,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.21,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.21,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.22,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.22,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.22,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.22,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.22,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.22,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.22,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.22,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.22,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.22,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.22,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.24,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.24,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.24,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.24,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.24,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.24,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.24,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.24,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.24,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.24,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.24,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.27,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.27,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.27,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.27,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.27,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.27,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.27,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.27,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.27,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.27,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.27,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.32,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.32,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.32,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.32,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.32,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.32,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.32,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.32,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.32,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.32,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.32,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.4,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.4,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.4,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.4,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.4,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.4,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.4,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.4,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.4,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.4,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.4,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
clean,0.5,0.0,25,0.0,0.0,0.0,1.0,12.725669489056184,12.725669489056184,HistGB,-0.0,0.0,0.0
clean,0.5,0.025,25,0.0,0.0,0.0,1.0,14.809379006710863,14.809379006710863,HistGB,-0.0,0.0,0.0
clean,0.5,0.1,25,0.0,0.0,0.0,1.0,17.118684888466667,17.118684888466667,HistGB,-0.0,0.0,0.0
clean,0.5,0.15,25,0.009129237901180715,0.026707056325500366,0.005341411265100073,0.88,18.445785910216713,18.436656672315536,HistGB,-0.0,0.06499230723708768,0.010469166079596142
clean,0.5,0.19,25,0.031244984910813685,0.12007741452827445,0.02401548290565489,0.84,19.768757151944115,19.7375121670333,HistGB,-0.0,0.07332121111929345,0.047070346495083584
clean,0.5,0.2,25,0.05158617267396423,0.1570088339223781,0.03140176678447562,0.72,20.090533377652843,20.03894720497888,HistGB,-0.0,0.0897997772825746,0.061547462897572215
clean,0.5,0.21,25,0.10194341754043662,0.2068598584667921,0.04137197169335842,0.56,20.43251827958851,20.330574862048078,HistGB,-0.0,0.09927738916792685,0.0810890645189825
clean,0.5,0.24,25,0.3228179421458181,0.336470530828331,0.0672941061656662,0.2,21.529461033378006,21.20664309123219,HistGB,-0.0,0.08,0.13189644808470574
clean,0.5,0.32,25,1.5010175580934604,0.41120907905658405,0.08224181581131682,0.0,24.968320225727652,23.467302667634193,HistGB,-0.0,0.0,0.16119395899018096
clean,0.5,0.4,25,2.8263392186992995,0.44034353139303734,0.08806870627860747,0.0,28.991614175923797,26.165274957224497,HistGB,-0.0,0.0,0.17261466430607064
clean,0.5,0.5,25,4.706924210235701,0.4750289955574938,0.09500579911149876,0.0,34.987478931077334,30.280554720841632,HistGB,-0.0,0.0,0.18621136625853757
